task_id,family,difficulty,payload,partials,combine,gold,split,version
evaluation-0084-sta,stateful_workflow,2,"{'state_deltas': [{'queued': 1, 'processed': 2, 'flagged': 3}, {'queued': 3, 'processed': 3, 'flagged': 1}, {'queued': 4, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 1, 'flagged': 2}, {'queued': 3, 'processed': 1, 'flagged': 0}, {'queued': 4, 'processed': 3, 'flagged': 2}], 'instruction': 'apply all state deltas'}","[{'queued': 1, 'processed': 2, 'flagged': 3}, {'queued': 3, 'processed': 3, 'flagged': 1}, {'queued': 4, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 1, 'flagged': 2}, {'queued': 3, 'processed': 1, 'flagged': 0}, {'queued': 4, 'processed': 3, 'flagged': 2}]",dict_sum,"{'flagged': 8, 'processed': 14, 'queued': 19}",evaluation,1.0
evaluation-0085-ari,arithmetic_pipeline,3,"{'terms': [1, 19, 10, 18, 14, 13, -11], 'instruction': 'sum all signed terms'}","[1, 19, 10, 18, 14, 13, -11]",sum,64,evaluation,1.0
evaluation-0086-sha,shard_aggregation,3,"{'shard_counts': [12, 99, 15, 28, 39, 66, 85], 'instruction': 'aggregate all shard counts'}","[12, 99, 15, 28, 39, 66, 85]",sum,344,evaluation,1.0
evaluation-0087-evi,evidence_synthesis,3,"{'evidence_vectors': [[1, 0], [5, 0], [5, 2], [2, 5], [2, 0], [3, 3], [2, 4]], 'labels': ['support', 'against']}","[[1, 0], [5, 0], [5, 2], [2, 5], [2, 0], [3, 3], [2, 4]]",vector_sum,"[20, 14]",evaluation,1.0
evaluation-0088-con,constraint_decision,3,"{'constraint_masks': [2, 32, 32, 128, 4, 4, 2], 'instruction': 'return the union bitmask'}","[2, 32, 32, 128, 4, 4, 2]",bitwise_or,166,evaluation,1.0
evaluation-0089-sta,stateful_workflow,3,"{'state_deltas': [{'queued': 0, 'processed': 0, 'flagged': 4}, {'queued': 3, 'processed': 1, 'flagged': 1}, {'queued': 1, 'processed': 3, 'flagged': 0}, {'queued': 3, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 4, 'flagged': 0}, {'queued': 2, 'processed': 0, 'flagged': 4}, {'queued': 4, 'processed': 0, 'flagged': 0}], 'instruction': 'apply all state deltas'}","[{'queued': 0, 'processed': 0, 'flagged': 4}, {'queued': 3, 'processed': 1, 'flagged': 1}, {'queued': 1, 'processed': 3, 'flagged': 0}, {'queued': 3, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 4, 'flagged': 0}, {'queued': 2, 'processed': 0, 'flagged': 4}, {'queued': 4, 'processed': 0, 'flagged': 0}]",dict_sum,"{'flagged': 9, 'processed': 12, 'queued': 17}",evaluation,1.0
evaluation-0090-ari,arithmetic_pipeline,1,"{'terms': [4, 26, -11, -19, -4], 'instruction': 'sum all signed terms'}","[4, 26, -11, -19, -4]",sum,-4,evaluation,1.0
evaluation-0091-sha,shard_aggregation,1,"{'shard_counts': [72, 58, 67, 89, 44], 'instruction': 'aggregate all shard counts'}","[72, 58, 67, 89, 44]",sum,330,evaluation,1.0
evaluation-0092-evi,evidence_synthesis,1,"{'evidence_vectors': [[3, 2], [3, 4], [2, 0], [2, 1], [1, 1]], 'labels': ['support', 'against']}","[[3, 2], [3, 4], [2, 0], [2, 1], [1, 1]]",vector_sum,"[11, 8]",evaluation,1.0
evaluation-0093-con,constraint_decision,1,"{'constraint_masks': [4, 128, 2, 64, 2], 'instruction': 'return the union bitmask'}","[4, 128, 2, 64, 2]",bitwise_or,198,evaluation,1.0
evaluation-0094-sta,stateful_workflow,1,"{'state_deltas': [{'queued': 0, 'processed': 4, 'flagged': 0}, {'queued': 0, 'processed': 2, 'flagged': 3}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 3, 'flagged': 4}, {'queued': 4, 'processed': 0, 'flagged': 4}], 'instruction': 'apply all state deltas'}","[{'queued': 0, 'processed': 4, 'flagged': 0}, {'queued': 0, 'processed': 2, 'flagged': 3}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 3, 'flagged': 4}, {'queued': 4, 'processed': 0, 'flagged': 4}]",dict_sum,"{'flagged': 12, 'processed': 9, 'queued': 5}",evaluation,1.0
evaluation-0095-ari,arithmetic_pipeline,2,"{'terms': [16, 27, -1, -16, 24, -8], 'instruction': 'sum all signed terms'}","[16, 27, -1, -16, 24, -8]",sum,42,evaluation,1.0
evaluation-0096-sha,shard_aggregation,2,"{'shard_counts': [7, 73, 42, 85, 55, 99], 'instruction': 'aggregate all shard counts'}","[7, 73, 42, 85, 55, 99]",sum,361,evaluation,1.0
evaluation-0097-evi,evidence_synthesis,2,"{'evidence_vectors': [[2, 3], [1, 0], [5, 3], [4, 1], [1, 2], [4, 5]], 'labels': ['support', 'against']}","[[2, 3], [1, 0], [5, 3], [4, 1], [1, 2], [4, 5]]",vector_sum,"[17, 14]",evaluation,1.0
evaluation-0098-con,constraint_decision,2,"{'constraint_masks': [128, 16, 4, 128, 2, 2], 'instruction': 'return the union bitmask'}","[128, 16, 4, 128, 2, 2]",bitwise_or,150,evaluation,1.0
evaluation-0099-sta,stateful_workflow,2,"{'state_deltas': [{'queued': 3, 'processed': 3, 'flagged': 1}, {'queued': 0, 'processed': 3, 'flagged': 1}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 1, 'processed': 1, 'flagged': 4}, {'queued': 4, 'processed': 0, 'flagged': 2}, {'queued': 0, 'processed': 0, 'flagged': 1}], 'instruction': 'apply all state deltas'}","[{'queued': 3, 'processed': 3, 'flagged': 1}, {'queued': 0, 'processed': 3, 'flagged': 1}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 1, 'processed': 1, 'flagged': 4}, {'queued': 4, 'processed': 0, 'flagged': 2}, {'queued': 0, 'processed': 0, 'flagged': 1}]",dict_sum,"{'flagged': 10, 'processed': 7, 'queued': 9}",evaluation,1.0
evaluation-0100-ari,arithmetic_pipeline,3,"{'terms': [11, 29, -20, -2, 1, -14, 15], 'instruction': 'sum all signed terms'}","[11, 29, -20, -2, 1, -14, 15]",sum,20,evaluation,1.0
evaluation-0101-sha,shard_aggregation,3,"{'shard_counts': [99, 26, 16, 96, 19, 78, 46], 'instruction': 'aggregate all shard counts'}","[99, 26, 16, 96, 19, 78, 46]",sum,380,evaluation,1.0
evaluation-0102-evi,evidence_synthesis,3,"{'evidence_vectors': [[1, 3], [3, 4], [2, 3], [3, 1], [5, 1], [5, 4], [4, 5]], 'labels': ['support', 'against']}","[[1, 3], [3, 4], [2, 3], [3, 1], [5, 1], [5, 4], [4, 5]]",vector_sum,"[23, 21]",evaluation,1.0
evaluation-0103-con,constraint_decision,3,"{'constraint_masks': [32, 128, 8, 64, 128, 2, 64], 'instruction': 'return the union bitmask'}","[32, 128, 8, 64, 128, 2, 64]",bitwise_or,234,evaluation,1.0
evaluation-0104-sta,stateful_workflow,3,"{'state_deltas': [{'queued': 2, 'processed': 3, 'flagged': 0}, {'queued': 3, 'processed': 1, 'flagged': 0}, {'queued': 0, 'processed': 2, 'flagged': 1}, {'queued': 2, 'processed': 4, 'flagged': 0}, {'queued': 0, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 1, 'flagged': 3}, {'queued': 2, 'processed': 4, 'flagged': 0}], 'instruction': 'apply all state deltas'}","[{'queued': 2, 'processed': 3, 'flagged': 0}, {'queued': 3, 'processed': 1, 'flagged': 0}, {'queued': 0, 'processed': 2, 'flagged': 1}, {'queued': 2, 'processed': 4, 'flagged': 0}, {'queued': 0, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 1, 'flagged': 3}, {'queued': 2, 'processed': 4, 'flagged': 0}]",dict_sum,"{'flagged': 5, 'processed': 15, 'queued': 9}",evaluation,1.0
evaluation-0105-ari,arithmetic_pipeline,1,"{'terms': [16, 4, 9, -10, 29], 'instruction': 'sum all signed terms'}","[16, 4, 9, -10, 29]",sum,48,evaluation,1.0
evaluation-0106-sha,shard_aggregation,1,"{'shard_counts': [29, 32, 47, 63, 86], 'instruction': 'aggregate all shard counts'}","[29, 32, 47, 63, 86]",sum,257,evaluation,1.0
evaluation-0107-evi,evidence_synthesis,1,"{'evidence_vectors': [[2, 0], [0, 0], [3, 5], [4, 1], [2, 5]], 'labels': ['support', 'against']}","[[2, 0], [0, 0], [3, 5], [4, 1], [2, 5]]",vector_sum,"[11, 11]",evaluation,1.0
evaluation-0108-con,constraint_decision,1,"{'constraint_masks': [1, 16, 128, 8, 8], 'instruction': 'return the union bitmask'}","[1, 16, 128, 8, 8]",bitwise_or,153,evaluation,1.0
evaluation-0109-sta,stateful_workflow,1,"{'state_deltas': [{'queued': 4, 'processed': 0, 'flagged': 3}, {'queued': 3, 'processed': 4, 'flagged': 3}, {'queued': 1, 'processed': 2, 'flagged': 4}, {'queued': 2, 'processed': 1, 'flagged': 2}, {'queued': 4, 'processed': 4, 'flagged': 1}], 'instruction': 'apply all state deltas'}","[{'queued': 4, 'processed': 0, 'flagged': 3}, {'queued': 3, 'processed': 4, 'flagged': 3}, {'queued': 1, 'processed': 2, 'flagged': 4}, {'queued': 2, 'processed': 1, 'flagged': 2}, {'queued': 4, 'processed': 4, 'flagged': 1}]",dict_sum,"{'flagged': 13, 'processed': 11, 'queued': 14}",evaluation,1.0
evaluation-0110-ari,arithmetic_pipeline,2,"{'terms': [29, 10, -4, 8, 24, 9], 'instruction': 'sum all signed terms'}","[29, 10, -4, 8, 24, 9]",sum,76,evaluation,1.0
evaluation-0111-sha,shard_aggregation,2,"{'shard_counts': [84, 14, 9, 58, 64, 41], 'instruction': 'aggregate all shard counts'}","[84, 14, 9, 58, 64, 41]",sum,270,evaluation,1.0
evaluation-0112-evi,evidence_synthesis,2,"{'evidence_vectors': [[5, 5], [0, 4], [2, 5], [5, 5], [1, 0], [0, 4]], 'labels': ['support', 'against']}","[[5, 5], [0, 4], [2, 5], [5, 5], [1, 0], [0, 4]]",vector_sum,"[13, 23]",evaluation,1.0
evaluation-0113-con,constraint_decision,2,"{'constraint_masks': [8, 1, 4, 32, 64, 32], 'instruction': 'return the union bitmask'}","[8, 1, 4, 32, 64, 32]",bitwise_or,109,evaluation,1.0
evaluation-0114-sta,stateful_workflow,2,"{'state_deltas': [{'queued': 1, 'processed': 2, 'flagged': 3}, {'queued': 2, 'processed': 2, 'flagged': 1}, {'queued': 2, 'processed': 4, 'flagged': 3}, {'queued': 0, 'processed': 4, 'flagged': 1}, {'queued': 4, 'processed': 3, 'flagged': 3}, {'queued': 1, 'processed': 1, 'flagged': 2}], 'instruction': 'apply all state deltas'}","[{'queued': 1, 'processed': 2, 'flagged': 3}, {'queued': 2, 'processed': 2, 'flagged': 1}, {'queued': 2, 'processed': 4, 'flagged': 3}, {'queued': 0, 'processed': 4, 'flagged': 1}, {'queued': 4, 'processed': 3, 'flagged': 3}, {'queued': 1, 'processed': 1, 'flagged': 2}]",dict_sum,"{'flagged': 13, 'processed': 16, 'queued': 10}",evaluation,1.0
evaluation-0115-ari,arithmetic_pipeline,3,"{'terms': [20, 16, 6, 2, 3, -14, 10], 'instruction': 'sum all signed terms'}","[20, 16, 6, 2, 3, -14, 10]",sum,43,evaluation,1.0
evaluation-0116-sha,shard_aggregation,3,"{'shard_counts': [99, 12, 55, 15, 11, 23, 85], 'instruction': 'aggregate all shard counts'}","[99, 12, 55, 15, 11, 23, 85]",sum,300,evaluation,1.0
evaluation-0117-evi,evidence_synthesis,3,"{'evidence_vectors': [[2, 3], [3, 1], [2, 0], [2, 1], [4, 2], [0, 3], [3, 4]], 'labels': ['support', 'against']}","[[2, 3], [3, 1], [2, 0], [2, 1], [4, 2], [0, 3], [3, 4]]",vector_sum,"[16, 14]",evaluation,1.0
evaluation-0118-con,constraint_decision,3,"{'constraint_masks': [4, 1, 2, 128, 32, 64, 2], 'instruction': 'return the union bitmask'}","[4, 1, 2, 128, 32, 64, 2]",bitwise_or,231,evaluation,1.0
evaluation-0119-sta,stateful_workflow,3,"{'state_deltas': [{'queued': 4, 'processed': 3, 'flagged': 3}, {'queued': 0, 'processed': 0, 'flagged': 4}, {'queued': 4, 'processed': 0, 'flagged': 4}, {'queued': 4, 'processed': 2, 'flagged': 1}, {'queued': 2, 'processed': 2, 'flagged': 1}, {'queued': 3, 'processed': 2, 'flagged': 2}, {'queued': 4, 'processed': 1, 'flagged': 1}], 'instruction': 'apply all state deltas'}","[{'queued': 4, 'processed': 3, 'flagged': 3}, {'queued': 0, 'processed': 0, 'flagged': 4}, {'queued': 4, 'processed': 0, 'flagged': 4}, {'queued': 4, 'processed': 2, 'flagged': 1}, {'queued': 2, 'processed': 2, 'flagged': 1}, {'queued': 3, 'processed': 2, 'flagged': 2}, {'queued': 4, 'processed': 1, 'flagged': 1}]",dict_sum,"{'flagged': 16, 'processed': 10, 'queued': 21}",evaluation,1.0
evaluation-0120-ari,arithmetic_pipeline,1,"{'terms': [29, 9, 16, 21, -2], 'instruction': 'sum all signed terms'}","[29, 9, 16, 21, -2]",sum,73,evaluation,1.0
evaluation-0121-sha,shard_aggregation,1,"{'shard_counts': [38, 17, 92, 79, 89], 'instruction': 'aggregate all shard counts'}","[38, 17, 92, 79, 89]",sum,315,evaluation,1.0
evaluation-0122-evi,evidence_synthesis,1,"{'evidence_vectors': [[1, 4], [3, 4], [2, 1], [0, 2], [1, 3]], 'labels': ['support', 'against']}","[[1, 4], [3, 4], [2, 1], [0, 2], [1, 3]]",vector_sum,"[7, 14]",evaluation,1.0
evaluation-0123-con,constraint_decision,1,"{'constraint_masks': [8, 32, 16, 8, 64], 'instruction': 'return the union bitmask'}","[8, 32, 16, 8, 64]",bitwise_or,120,evaluation,1.0
evaluation-0124-sta,stateful_workflow,1,"{'state_deltas': [{'queued': 2, 'processed': 2, 'flagged': 0}, {'queued': 1, 'processed': 4, 'flagged': 1}, {'queued': 2, 'processed': 3, 'flagged': 0}, {'queued': 0, 'processed': 2, 'flagged': 4}, {'queued': 1, 'processed': 0, 'flagged': 1}], 'instruction': 'apply all state deltas'}","[{'queued': 2, 'processed': 2, 'flagged': 0}, {'queued': 1, 'processed': 4, 'flagged': 1}, {'queued': 2, 'processed': 3, 'flagged': 0}, {'queued': 0, 'processed': 2, 'flagged': 4}, {'queued': 1, 'processed': 0, 'flagged': 1}]",dict_sum,"{'flagged': 6, 'processed': 11, 'queued': 6}",evaluation,1.0
evaluation-0125-ari,arithmetic_pipeline,2,"{'terms': [27, 21, 2, 9, 14, 21], 'instruction': 'sum all signed terms'}","[27, 21, 2, 9, 14, 21]",sum,94,evaluation,1.0
evaluation-0126-sha,shard_aggregation,2,"{'shard_counts': [56, 8, 91, 88, 86, 58], 'instruction': 'aggregate all shard counts'}","[56, 8, 91, 88, 86, 58]",sum,387,evaluation,1.0
evaluation-0127-evi,evidence_synthesis,2,"{'evidence_vectors': [[4, 5], [3, 4], [0, 2], [5, 1], [4, 3], [3, 1]], 'labels': ['support', 'against']}","[[4, 5], [3, 4], [0, 2], [5, 1], [4, 3], [3, 1]]",vector_sum,"[19, 16]",evaluation,1.0
evaluation-0128-con,constraint_decision,2,"{'constraint_masks': [2, 32, 4, 4, 64, 16], 'instruction': 'return the union bitmask'}","[2, 32, 4, 4, 64, 16]",bitwise_or,118,evaluation,1.0
evaluation-0129-sta,stateful_workflow,2,"{'state_deltas': [{'queued': 0, 'processed': 1, 'flagged': 2}, {'queued': 2, 'processed': 4, 'flagged': 2}, {'queued': 1, 'processed': 3, 'flagged': 0}, {'queued': 4, 'processed': 1, 'flagged': 3}, {'queued': 2, 'processed': 2, 'flagged': 4}, {'queued': 2, 'processed': 4, 'flagged': 0}], 'instruction': 'apply all state deltas'}","[{'queued': 0, 'processed': 1, 'flagged': 2}, {'queued': 2, 'processed': 4, 'flagged': 2}, {'queued': 1, 'processed': 3, 'flagged': 0}, {'queued': 4, 'processed': 1, 'flagged': 3}, {'queued': 2, 'processed': 2, 'flagged': 4}, {'queued': 2, 'processed': 4, 'flagged': 0}]",dict_sum,"{'flagged': 11, 'processed': 15, 'queued': 11}",evaluation,1.0
evaluation-0130-ari,arithmetic_pipeline,3,"{'terms': [29, -11, -3, 25, -13, -19, 28], 'instruction': 'sum all signed terms'}","[29, -11, -3, 25, -13, -19, 28]",sum,36,evaluation,1.0
evaluation-0131-sha,shard_aggregation,3,"{'shard_counts': [71, 27, 94, 51, 28, 56, 75], 'instruction': 'aggregate all shard counts'}","[71, 27, 94, 51, 28, 56, 75]",sum,402,evaluation,1.0
evaluation-0132-evi,evidence_synthesis,3,"{'evidence_vectors': [[0, 2], [1, 2], [1, 2], [1, 4], [5, 2], [4, 4], [5, 0]], 'labels': ['support', 'against']}","[[0, 2], [1, 2], [1, 2], [1, 4], [5, 2], [4, 4], [5, 0]]",vector_sum,"[17, 16]",evaluation,1.0
evaluation-0133-con,constraint_decision,3,"{'constraint_masks': [16, 32, 128, 32, 2, 64, 64], 'instruction': 'return the union bitmask'}","[16, 32, 128, 32, 2, 64, 64]",bitwise_or,242,evaluation,1.0
evaluation-0134-sta,stateful_workflow,3,"{'state_deltas': [{'queued': 0, 'processed': 0, 'flagged': 3}, {'queued': 3, 'processed': 4, 'flagged': 2}, {'queued': 2, 'processed': 3, 'flagged': 3}, {'queued': 4, 'processed': 1, 'flagged': 4}, {'queued': 4, 'processed': 0, 'flagged': 2}, {'queued': 0, 'processed': 4, 'flagged': 2}, {'queued': 0, 'processed': 0, 'flagged': 1}], 'instruction': 'apply all state deltas'}","[{'queued': 0, 'processed': 0, 'flagged': 3}, {'queued': 3, 'processed': 4, 'flagged': 2}, {'queued': 2, 'processed': 3, 'flagged': 3}, {'queued': 4, 'processed': 1, 'flagged': 4}, {'queued': 4, 'processed': 0, 'flagged': 2}, {'queued': 0, 'processed': 4, 'flagged': 2}, {'queued': 0, 'processed': 0, 'flagged': 1}]",dict_sum,"{'flagged': 17, 'processed': 12, 'queued': 13}",evaluation,1.0
evaluation-0135-ari,arithmetic_pipeline,1,"{'terms': [-15, 8, 9, 6, -17], 'instruction': 'sum all signed terms'}","[-15, 8, 9, 6, -17]",sum,-9,evaluation,1.0
evaluation-0136-sha,shard_aggregation,1,"{'shard_counts': [54, 90, 31, 87, 30], 'instruction': 'aggregate all shard counts'}","[54, 90, 31, 87, 30]",sum,292,evaluation,1.0
evaluation-0137-evi,evidence_synthesis,1,"{'evidence_vectors': [[1, 0], [1, 3], [4, 2], [2, 4], [4, 5]], 'labels': ['support', 'against']}","[[1, 0], [1, 3], [4, 2], [2, 4], [4, 5]]",vector_sum,"[12, 14]",evaluation,1.0
evaluation-0138-con,constraint_decision,1,"{'constraint_masks': [2, 8, 2, 16, 128], 'instruction': 'return the union bitmask'}","[2, 8, 2, 16, 128]",bitwise_or,154,evaluation,1.0
evaluation-0139-sta,stateful_workflow,1,"{'state_deltas': [{'queued': 4, 'processed': 3, 'flagged': 4}, {'queued': 2, 'processed': 3, 'flagged': 3}, {'queued': 0, 'processed': 3, 'flagged': 3}, {'queued': 4, 'processed': 1, 'flagged': 4}, {'queued': 0, 'processed': 3, 'flagged': 4}], 'instruction': 'apply all state deltas'}","[{'queued': 4, 'processed': 3, 'flagged': 4}, {'queued': 2, 'processed': 3, 'flagged': 3}, {'queued': 0, 'processed': 3, 'flagged': 3}, {'queued': 4, 'processed': 1, 'flagged': 4}, {'queued': 0, 'processed': 3, 'flagged': 4}]",dict_sum,"{'flagged': 18, 'processed': 13, 'queued': 10}",evaluation,1.0
evaluation-0140-ari,arithmetic_pipeline,2,"{'terms': [5, -6, 2, -16, -3, -9], 'instruction': 'sum all signed terms'}","[5, -6, 2, -16, -3, -9]",sum,-27,evaluation,1.0
evaluation-0141-sha,shard_aggregation,2,"{'shard_counts': [59, 62, 6, 45, 68, 78], 'instruction': 'aggregate all shard counts'}","[59, 62, 6, 45, 68, 78]",sum,318,evaluation,1.0
evaluation-0142-evi,evidence_synthesis,2,"{'evidence_vectors': [[3, 3], [5, 4], [0, 3], [4, 0], [1, 3], [3, 0]], 'labels': ['support', 'against']}","[[3, 3], [5, 4], [0, 3], [4, 0], [1, 3], [3, 0]]",vector_sum,"[16, 13]",evaluation,1.0
evaluation-0143-con,constraint_decision,2,"{'constraint_masks': [128, 1, 128, 128, 32, 2], 'instruction': 'return the union bitmask'}","[128, 1, 128, 128, 32, 2]",bitwise_or,163,evaluation,1.0
evaluation-0144-sta,stateful_workflow,2,"{'state_deltas': [{'queued': 3, 'processed': 4, 'flagged': 1}, {'queued': 4, 'processed': 4, 'flagged': 2}, {'queued': 1, 'processed': 0, 'flagged': 0}, {'queued': 2, 'processed': 4, 'flagged': 4}, {'queued': 3, 'processed': 2, 'flagged': 0}, {'queued': 0, 'processed': 3, 'flagged': 1}], 'instruction': 'apply all state deltas'}","[{'queued': 3, 'processed': 4, 'flagged': 1}, {'queued': 4, 'processed': 4, 'flagged': 2}, {'queued': 1, 'processed': 0, 'flagged': 0}, {'queued': 2, 'processed': 4, 'flagged': 4}, {'queued': 3, 'processed': 2, 'flagged': 0}, {'queued': 0, 'processed': 3, 'flagged': 1}]",dict_sum,"{'flagged': 8, 'processed': 17, 'queued': 13}",evaluation,1.0
evaluation-0145-ari,arithmetic_pipeline,3,"{'terms': [-12, 25, 10, 20, 1, -6, 21], 'instruction': 'sum all signed terms'}","[-12, 25, 10, 20, 1, -6, 21]",sum,59,evaluation,1.0
evaluation-0146-sha,shard_aggregation,3,"{'shard_counts': [88, 33, 30, 79, 15, 10, 19], 'instruction': 'aggregate all shard counts'}","[88, 33, 30, 79, 15, 10, 19]",sum,274,evaluation,1.0
evaluation-0147-evi,evidence_synthesis,3,"{'evidence_vectors': [[5, 5], [1, 0], [4, 2], [2, 3], [3, 5], [1, 4], [4, 0]], 'labels': ['support', 'against']}","[[5, 5], [1, 0], [4, 2], [2, 3], [3, 5], [1, 4], [4, 0]]",vector_sum,"[20, 19]",evaluation,1.0
evaluation-0148-con,constraint_decision,3,"{'constraint_masks': [8, 16, 4, 4, 4, 8, 4], 'instruction': 'return the union bitmask'}","[8, 16, 4, 4, 4, 8, 4]",bitwise_or,28,evaluation,1.0
evaluation-0149-sta,stateful_workflow,3,"{'state_deltas': [{'queued': 1, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 0, 'flagged': 2}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 4, 'flagged': 3}, {'queued': 3, 'processed': 3, 'flagged': 1}, {'queued': 0, 'processed': 0, 'flagged': 4}, {'queued': 0, 'processed': 1, 'flagged': 3}], 'instruction': 'apply all state deltas'}","[{'queued': 1, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 0, 'flagged': 2}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 4, 'flagged': 3}, {'queued': 3, 'processed': 3, 'flagged': 1}, {'queued': 0, 'processed': 0, 'flagged': 4}, {'queued': 0, 'processed': 1, 'flagged': 3}]",dict_sum,"{'flagged': 14, 'processed': 12, 'queued': 9}",evaluation,1.0
